TCID,Topic,Pre-Condition,Test Case,User Input ( Select / type ),Expected Result,Actual Result,Custom Tag,Status,Test Type
,Order Returned Refund Query,,"Sending user input in the email body and verify that ""Order_Returned_Refund_Query"" is populated on the ticket and ticket is in open state",i ve sent it back via fedex today . please process the refund.,"""Order_Returned_Refund_Query"" should be pouplated in the chat ticket",,Order_Returned_Refund_Query,,Manual
,,,"Sending user input in the email subject and keeping body empty, then Verify that ""Order_Returned_Refund_Query"" is populated on the ticket and ticket is in open state",i ve sent it back via fedex today . please process the refund.,"""Order_Returned_Refund_Query"" should be pouplated in the chat ticket",,Order_Returned_Refund_Query,,Manual
,Cancel Order Request,,"Sending user input in the email body and Verify that ""Cancel_Order_Request"" is populated on the ticket and ticket is in open state",Cancel my order as i ordered the wrong size of shirt .,"""Cancel_Order_Request"" should be pouplated in the chat ticket",,Cancel_Order_Request,,Manual
,,,"Sending user input in the email subject and keeping body empty, then Verify that ""Cancel_Order_Request"" is populated on the ticket and ticket is in open state",Cancel my order as i ordered the wrong size of shirt .,"""Cancel_Order_Request"" should be pouplated in the chat ticket",,Cancel_Order_Request,,
,Order Status Or Update,,"Sending user input in the email body and Verify that ""Order_Status_Or_Update"" is populated on the ticket and ticket is in open state",Can you let me know about the status of this order,"""Order_Status_Or_Update"" should be pouplated in the chat ticket",,Order_Status_Or_Update,,Manual
,,,"Sending user input in the email subject and keeping body empty, then Verify that ""Order_Status_Or_Update"" is populated on the ticket and ticket is in open state",Can you let me know about the status of this order,"""Order_Status_Or_Update"" should be pouplated in the chat ticket",,Order_Status_Or_Update,,
,Order Confirmation Not Recieved,,"Sending user input in the email body and Verify that ""Order_Confirmation_Not_Recieved"" is populated on the ticket and ticket is in open state",Just placed order but did not get email confirmation . i used two gift card,"""Order_Confirmation_Not_Recieved"" should be pouplated in the chat ticket",,Order_Confirmation_Not_Recieved,,Manual
,,,"Sending user input in the email subject and keeping body empty, then Verify that ""Order_Confirmation_Not_Recieved"" is populated on the ticket and ticket is in open state",Just placed order but did not get email confirmation . i used two gift card,"""Order_Confirmation_Not_Recieved"" should be pouplated in the chat ticket",,Order_Confirmation_Not_Recieved,,
,Return Request,,"Sending user input in the email body and Verify that ""Return_Request"" is populated on the ticket and ticket is in open state",would like to return a tie,"""Return_Request"" should be pouplated in the chat ticket",,Return_Request,,Manual
,,,"Sending user input in the email subject and keeping body empty, then Verify that ""Return_Request"" is populated on the ticket and ticket is in open state",would like to return a tie,"""Return_Request"" should be pouplated in the chat ticket",,Return_Request,,
