TCID,Feature,Pre-Condition,Test Type,Test Case,User Input ( Select / type ),Actual Result,Expected Result,Custom Tag,Status,Test Repository,Project Name
TC01,COVID Restrictions,Sample Promo code,Manual,Verify response of COVID Restriction intent should be same as given in requirements,Boundations due to covid,"When a user send request like ""boundations due to covid"" than bot should respond with message ""With the evolving nature of Covid-19........"" given in requirement sheet","When a user send request like ""boundations due to covid"" than bot should respond with message ""With the evolving nature of Covid-19........"" given in requirement sheet",Hailey_Covid,Pass,Email,Hary Rosen
TC02,Locations,Sample Promo code,Manual,Verify response of Locations intent should be same as given in requirements,where your store location,"When a user send request like ""where your store location"" than bot should respond with message ""You can find a personalized experience, expert advice........"" given in requirement sheet","When a user send request like ""where your store location"" than bot should respond with message ""You can find a personalized experience, expert advice........"" given in requirement sheet",Hailey_Location,Pass,Email,Hary Rosen
TC03,Shipping Status,Sample Promo code,Manual,Verify response of Shipping status intent should be same as given in requirements,has my order been shippped,"When a user send request like ""where your store location"" than bot should respond with message ""We predominantly ship parcels using FedEx........"" given in requirement sheet","When a user send request like ""where your store location"" than bot should respond with message ""We predominantly ship parcels using FedEx........"" given in requirement sheet",Hailey_Courier_Updates,Pass,Email,Hary Rosen
TC04,Promotion Inquiry,Sample Promo code,Manual,Verify response of Promo Inquiry intent should be same as given in requirements,promo inquiry,"When a user send request like ""promo inquiry"" than bot should respond with 2 quick replies and message ""We would be happy to look into this for you........"" given in requirement sheet","When a user send request like ""promo inquiry"" than bot should respond with 2 quick repies and message ""We would be happy to look into this for you........"" given in requirement sheet",Hailey_Promotion_Inquiries,Pass,Email,Hary Rosen
TC05,Promotion Inquiry,Sample Promo code,Manual,"Verify response if user select ""New"" under promo inquiry",New,"When a user select ""New"" quick reply than bot should respond with 2 quick replies and message ""Is this in relation to a sale you saw........"" given in requirement sheet","When a user select ""New"" quick reply than bot should respond with 2 quick replies and message ""Is this in relation to a sale you saw........"" given in requirement sheet",Hailey_Promotion_Inquiries,Pass,Email,Hary Rosen
TC06,Promotion Inquiry,Sample Promo code,Manual,"Verify response if user select ""Sale on site"" under New option ",Sale on site,"When a user select ""sale on site"" quick reply than bot should asked for entering coupon code than customer name and email and transfer to HH given in requirement sheet","When a user select ""sale on site"" quick reply than bot should asked for entering coupon code than customer name and email and transfer to HH given in requirement sheet",Hailey_Promotion_Inquiries,Pass,Email,Hary Rosen
TC07,Promotion Inquiry,Sample Promo code,Manual,"Verify response if user select ""Promo code"" under New option ",Promo code,"When a user select ""Promo code"" quick reply than bot should redirect to how to use promo code intent given in requirement sheet","When a user select ""Promo code"" quick reply than bot should redirect to how to use promo code intent given in requirement sheet",Hailey_Promotion_Inquiries,Pass,Chat,Hary Rosen
TC08,Promotion Inquiry,Sample Promo code/ Order ID,Manual,"Verify response if user select ""Previous"" under promo inquiry",Previous,"When a user select ""Previous"" quick reply than bot should asked for order number, promo code, name/ email and redirect to HH given in requirement sheet","When a user select ""Previous"" quick reply than bot should asked for order number, promo code, name/ email and redirect to HH given in requirement sheet",Hailey_Promotion_Inquiries,Pass,Chat,Hary Rosen
TC09,Request Exchange,Sample Promo code,Manual,Verify response of request Exchange intent should be same as given in requirements,Can i exchange an online order.,"When a user send request like ""Can i exchange an online order."" than bot should respond with message ""If you have made a purchase online and would....."" given in requirement sheet","When a user send request like ""Can i exchange an online order."" than bot should respond with message ""If you have made a purchase online and would....."" given in requirement sheet",Hailey_Request_Exchange,Pass,Chat,Hary Rosen
TC10,How to apply promo or discount code,Sample Promo code,Manual,Verify response of How to use promo code intent should be same as given in requirements,appply promo code,"When a user send request like ""apply promo code"" than bot should respond with 2 quick replies and message ""I will walk you through...."" given in requirement sheet","When a user send request like ""apply promo code"" than bot should respond with 2 quick replies and message ""I will walk you through...."" given in requirement sheet",Hailey_Use_Promo,Pass,Email,Hary Rosen
TC11,How to apply promo or discount code,Sample Promo code,Manual,"Verify if user select ""Troubleshooting steps"" under apply promo",Troubleshooting steps,"When a user select ""Troubleshooting steps"" quick reply than bot should respond with 2 quick replies and message ""how did you receive the promo code"" given in requirement sheet","When a user select ""Troubleshooting steps"" quick reply than bot should respond with 2 quick replies and message ""how did you receive the promo code"" given in requirement sheet",Hailey_Use_Promo,Pass,Email,Hary Rosen
TC12,How to apply promo or discount code,Sample Promo code,Manual,"Verify if user select ""Sent via email"" under troubleshooting steps",Sent via email,"When a user select ""Sent via email"" quick reply than bot should respond with 2 quick replies and message ""please login with email....."" given in requirement sheet","When a user select ""Sent via email"" quick reply than bot should respond with 2 quick replies and message ""please login with email....."" given in requirement sheet",Hailey_Use_Promo,Pass,Email,Hary Rosen
TC13,How to apply promo or discount code,Sample Promo code,Manual,"Verify if user select ""logged in successfully"" under ""Sent via email""",logged in successfully,"When a user select ""Logged in successfully"" quick reply than bot should respond with 2 quick replies and message ""great, select the item indicator......."" given in requirement sheet","When a user select ""Logged in successfully"" quick reply than bot should respond with 2 quick replies and message ""great, select the item indicator......."" given in requirement sheet",Hailey_Use_Promo,Pass,Email,Hary Rosen
TC14,How to apply promo or discount code,Sample Promo code,Manual,"Verify if user select ""Yes"" under ""logged in successfully"" ",Yes,"When a user select ""Yes"" quick reply than bot should respond with 2 quick replies and message ""The promo code must be typed exactly as provided......."" given in requirement sheet","When a user select ""Yes"" quick reply than bot should respond with 2 quick replies and message ""The promo code must be typed exactly as provided......."" given in requirement sheet",Hailey_Use_Promo,Pass,Email,Hary Rosen
TC15,How to apply promo or discount code,Sample Promo code,Manual,"Verify if user select ""Yes"" under ""Yes"" ",Yes,"When a user select ""Yes"" quick reply than bot should redirect to feddback module intent. given in requirement sheet","When a user select ""Yes"" quick reply than bot should redirect to feddback module intent. given in requirement sheet",Hailey_Use_Promo,Pass,Email,Hary Rosen
TC16,How to apply promo or discount code,Sample Promo code,Manual,"Verify if user select ""No"" under ""Yes"" ",No,"When a user select ""No"" quick reply than bot should asked for promo code, name/ email and redirect to HH given in requirement sheet","When a user select ""No"" quick reply than bot should asked for promo code, name/ email and redirect to HH given in requirement sheet",Hailey_Use_Promo,Pass,Email,Hary Rosen
